_id,Date,Year,Month Number,Month,Month & Year,Mon & Year
1,1-Jan-89,1989,1,January,Jan-89,Jan-89
2,2-Jan-89,1989,1,January,Jan-89,Jan-89
3,3-Jan-89,1989,1,January,Jan-89,Jan-89
4,4-Jan-89,1989,1,January,Jan-89,Jan-89
5,5-Jan-89,1989,1,January,Jan-89,Jan-89
6,6-Jan-89,1989,1,January,Jan-89,Jan-89
7,7-Jan-89,1989,1,January,Jan-89,Jan-89
8,8-Jan-89,1989,1,January,Jan-89,Jan-89
9,9-Jan-89,1989,1,January,Jan-89,Jan-89
10,10-Jan-89,1989,1,January,Jan-89,Jan-89
11,11-Jan-89,1989,1,January,Jan-89,Jan-89
12,12-Jan-89,1989,1,January,Jan-89,Jan-89
13,13-Jan-89,1989,1,January,Jan-89,Jan-89
14,14-Jan-89,1989,1,January,Jan-89,Jan-89
15,15-Jan-89,1989,1,January,Jan-89,Jan-89
16,16-Jan-89,1989,1,January,Jan-89,Jan-89
17,17-Jan-89,1989,1,January,Jan-89,Jan-89
18,18-Jan-89,1989,1,January,Jan-89,Jan-89
19,19-Jan-89,1989,1,January,Jan-89,Jan-89
20,20-Jan-89,1989,1,January,Jan-89,Jan-89
21,21-Jan-89,1989,1,January,Jan-89,Jan-89
22,22-Jan-89,1989,1,January,Jan-89,Jan-89
23,23-Jan-89,1989,1,January,Jan-89,Jan-89
24,24-Jan-89,1989,1,January,Jan-89,Jan-89
25,25-Jan-89,1989,1,January,Jan-89,Jan-89
26,26-Jan-89,1989,1,January,Jan-89,Jan-89
27,27-Jan-89,1989,1,January,Jan-89,Jan-89
28,28-Jan-89,1989,1,January,Jan-89,Jan-89
29,29-Jan-89,1989,1,January,Jan-89,Jan-89
30,30-Jan-89,1989,1,January,Jan-89,Jan-89
31,31-Jan-89,1989,1,January,Jan-89,Jan-89
32,1-Feb-89,1989,2,February,Feb-89,Feb-89
33,2-Feb-89,1989,2,February,Feb-89,Feb-89
34,3-Feb-89,1989,2,February,Feb-89,Feb-89
35,4-Feb-89,1989,2,February,Feb-89,Feb-89
36,5-Feb-89,1989,2,February,Feb-89,Feb-89
37,6-Feb-89,1989,2,February,Feb-89,Feb-89
38,7-Feb-89,1989,2,February,Feb-89,Feb-89
39,8-Feb-89,1989,2,February,Feb-89,Feb-89
40,9-Feb-89,1989,2,February,Feb-89,Feb-89
41,10-Feb-89,1989,2,February,Feb-89,Feb-89
42,11-Feb-89,1989,2,February,Feb-89,Feb-89
43,12-Feb-89,1989,2,February,Feb-89,Feb-89
44,13-Feb-89,1989,2,February,Feb-89,Feb-89
45,14-Feb-89,1989,2,February,Feb-89,Feb-89
46,15-Feb-89,1989,2,February,Feb-89,Feb-89
47,16-Feb-89,1989,2,February,Feb-89,Feb-89
48,17-Feb-89,1989,2,February,Feb-89,Feb-89
49,18-Feb-89,1989,2,February,Feb-89,Feb-89
50,19-Feb-89,1989,2,February,Feb-89,Feb-89
51,20-Feb-89,1989,2,February,Feb-89,Feb-89
52,21-Feb-89,1989,2,February,Feb-89,Feb-89
53,22-Feb-89,1989,2,February,Feb-89,Feb-89
54,23-Feb-89,1989,2,February,Feb-89,Feb-89
55,24-Feb-89,1989,2,February,Feb-89,Feb-89
56,25-Feb-89,1989,2,February,Feb-89,Feb-89
57,26-Feb-89,1989,2,February,Feb-89,Feb-89
58,27-Feb-89,1989,2,February,Feb-89,Feb-89
59,28-Feb-89,1989,2,February,Feb-89,Feb-89
60,1-Mar-89,1989,3,March,Mar-89,Mar-89
61,2-Mar-89,1989,3,March,Mar-89,Mar-89
62,3-Mar-89,1989,3,March,Mar-89,Mar-89
63,4-Mar-89,1989,3,March,Mar-89,Mar-89
64,5-Mar-89,1989,3,March,Mar-89,Mar-89
65,6-Mar-89,1989,3,March,Mar-89,Mar-89
66,7-Mar-89,1989,3,March,Mar-89,Mar-89
67,8-Mar-89,1989,3,March,Mar-89,Mar-89
68,9-Mar-89,1989,3,March,Mar-89,Mar-89
69,10-Mar-89,1989,3,March,Mar-89,Mar-89
70,11-Mar-89,1989,3,March,Mar-89,Mar-89
71,12-Mar-89,1989,3,March,Mar-89,Mar-89
72,13-Mar-89,1989,3,March,Mar-89,Mar-89
73,14-Mar-89,1989,3,March,Mar-89,Mar-89
74,15-Mar-89,1989,3,March,Mar-89,Mar-89
75,16-Mar-89,1989,3,March,Mar-89,Mar-89
76,17-Mar-89,1989,3,March,Mar-89,Mar-89
77,18-Mar-89,1989,3,March,Mar-89,Mar-89
78,19-Mar-89,1989,3,March,Mar-89,Mar-89
79,20-Mar-89,1989,3,March,Mar-89,Mar-89
80,21-Mar-89,1989,3,March,Mar-89,Mar-89
81,22-Mar-89,1989,3,March,Mar-89,Mar-89
82,23-Mar-89,1989,3,March,Mar-89,Mar-89
83,24-Mar-89,1989,3,March,Mar-89,Mar-89
